,Date of News,News Headline,Source of News,Predicted Sentimental Label,Predicted Sentimental Score
0,2022-02-25T18:30:00Z,Why green hydrogen is the future of energy,https://www.livemint.com/opinion/online-views/why-green-hydrogen-is-the-future-of-energy-11645594317979.html,POSITIVE,0.987492561340332
1,2022-02-24T18:30:00Z,"Green hydrogen policy is great, but we need more",https://www.livemint.com/opinion/online-views/indias-green-hydrogen-policy-is-a-big-step-but-we-need-some-more-11645721861662.html,NEGATIVE,0.8573163151741028
2,2022-02-22T00:30:00Z,A good start for green hydrogen,https://www.financialexpress.com/opinion/a-good-start-for-green-hydrogen/2440701/,POSITIVE,0.9997565150260925
3,2022-02-20T06:25:48Z,New policy to cut green hydrogen cost by 40-50 pc: IOC,https://www.financialexpress.com/industry/new-policy-to-cut-green-hydrogen-cost-by-40-50-pc-ioc/2439234/,NEGATIVE,0.9392098188400269
4,2022-02-18T21:20:00Z,'Green hydrogen viability hinges on cutting renewable power costs',https://www.financialexpress.com/industry/green-hydrogen-viability-hinges-on-cutting-renewable-power-costs/2438466/,NEGATIVE,0.9563613533973694
5,2022-02-18T09:32:05Z,Explained: What is green hydrogen and how will the Centre's new policy boost its production,https://www.firstpost.com/india/explained-what-is-green-hydrogen-and-how-will-the-centres-new-policy-boost-its-production-10386641.html,POSITIVE,0.9931917786598206
6,2022-02-18T07:06:46Z,Explained: What is the govt’s green hydrogen policy?,https://indianexpress.com/article/explained/explained-green-hydrogen-policy-7779679/,NEGATIVE,0.9859783053398132
7,2022-02-18T05:00:00Z,India plans to produce 5 mln tonnes of green hydrogen by 2030,https://www.reuters.com/business/energy/india-plans-produce-5-mln-tonnes-green-hydrogen-by-2030-2022-02-17/,NEGATIVE,0.5427631735801697
8,2022-02-18T05:00:00Z,Electrolyser supply crunch hangs over India's hydrogen ambitions,https://www.reuters.com/business/energy/electrolyser-supply-crunch-hangs-over-indias-hydrogen-ambitions-2022-02-18/,NEGATIVE,0.9985926747322083
9,2022-02-18T05:00:00Z,India plans to produce 5 million tonnes of green hydrogen by 2030,https://www.investing.com/news/economy/india-plans-to-produce-5-million-tonnes-of-green-hydrogen-by-2030-2766352,POSITIVE,0.9845539331436157
10,2022-02-27T09:27:16.000Z,"Of course #hydrogen is not an energy source. However, I can imagine in the near future large amounts of green hydrogen an ammonia in middle east region. 

#energytransition https://t.co/9ZG6T0mdeK",Roy Niekerk,NEGATIVE,0.9864137172698975
11,2022-02-27T09:25:50.000Z,@MichaelEMann @IrishTimes Better with #green #hydrogen,Ireland's Hydrogen Association,POSITIVE,0.5199735164642334
12,2022-02-27T09:22:50.000Z,"End #FossilFuels import

Use #Green #hydrogen from excess #renewableenergy for energy storage &amp; energy security https://t.co/HxNPPs6wO2",Connor M. Antico,NEGATIVE,0.9887590408325195
13,2022-02-27T09:20:57.000Z,@MLiebreich #Green #hydrogen from excess renewable energy.,DWilliams_2022,NEGATIVE,0.9725638031959534
14,2022-02-27T09:18:35.000Z,"@USPS 
We are in the beginning of a huge change into clean transportation this decade. Don't live in the past. Go 60 percent green!! You can be the leader and use green hydrogen and electric vehicles. Change the world and make a difference.  @LouisDeJoy 
https://t.co/oF3j7TsMKS",Robert Pujol i Vives,POSITIVE,0.9962190985679626
15,2022-02-27T09:18:19.000Z,"@laurimyllyvirta Globally, there is 260GW of hydrogen electrolysis in planning, most of which is in Europe and the rest for export; again mainly Europe. This is equal to 720TWh of hydrogen, or about half Russian gas imports to the EU.

Many smaller projects also.. https://t.co/UklO8barb7",H2Vector,NEGATIVE,0.9852818846702576
16,2022-02-27T08:57:41.000Z,"❌He is an ignorant or liar
Hydrogen isn’t a source of #energy out of #nuclear fussion ☢️ wich isn’t able yet https://t.co/wPodG6Y6aA #ClimateCrisis 
France  / Macron Announces Plans For First SMR And Green Hydrogen From Nuclear Plants By 2030 https://t.co/1X5h2tLipH",Yash Mehta,NEGATIVE,0.9975795149803162
17,2022-02-27T08:52:13.000Z,RT @ITMPowerPlc: .@Airbus is planning to use a superjumbo A380 to test jet engines powered by green #hydrogen. The sky really is the limit.…,Tan,NEGATIVE,0.9788839817047119
